2023-12-04 09:44:43 install zlib1g:arm64 <none> 1:1.2.13.dfsg-3
2023-12-04 09:44:43 status half-installed zlib1g:arm64 1:1.2.13.dfsg-3
2023-12-04 09:44:44 status unpacked zlib1g:arm64 1:1.2.13.dfsg-3
2023-12-04 09:44:44 startup packages configure
2023-12-04 09:44:44 configure libtext-glob-perl:all 0.11-3 <none>
2023-12-04 09:44:44 status unpacked libtext-glob-perl:all 0.11-3
2023-12-04 09:44:44 status half-configured libtext-glob-perl:all 0.11-3
2023-12-04 09:44:44 status installed libtext-glob-perl:all 0.11-3
2023-12-04 09:44:44 configure debian-archive-keyring:all 2023.4 <none>
2023-12-04 09:44:44 status unpacked debian-archive-keyring:all 2023.4
2023-12-04 09:44:44 status half-configured debian-archive-keyring:all 2023.4
2023-12-04 09:44:46 status installed debian-archive-keyring:all 2023.4
2023-12-04 09:44:46 configure usr-is-merged:all 38 <none>
2023-12-04 09:44:46 status unpacked usr-is-merged:all 38
2023-12-04 09:44:46 status half-configured usr-is-merged:all 38
2023-12-04 09:44:46 status installed usr-is-merged:all 38
2023-12-04 09:44:46 configure libaudit-common:all 1:3.1.1-1 <none>
2023-12-04 09:44:46 status unpacked libaudit-common:all 1:3.1.1-1
2023-12-04 09:44:46 status half-configured libaudit-common:all 1:3.1.1-1
2023-12-04 09:44:46 status installed libaudit-common:all 1:3.1.1-1
2023-12-04 09:44:46 configure libsemanage-common:all 3.5-1 <none>
2023-12-04 09:44:46 status unpacked libsemanage-common:all 3.5-1
2023-12-04 09:44:46 status half-configured libsemanage-common:all 3.5-1
2023-12-04 09:44:46 status installed libsemanage-common:all 3.5-1
2023-12-04 09:44:46 configure debconf:all 1.5.82 <none>
2023-12-04 09:44:46 status unpacked debconf:all 1.5.82
2023-12-04 09:44:46 status half-configured debconf:all 1.5.82
2023-12-04 09:44:52 status installed debconf:all 1.5.82
2023-12-04 09:44:52 configure libnumber-compare-perl:all 0.03-3 <none>
2023-12-04 09:44:52 status unpacked libnumber-compare-perl:all 0.03-3
2023-12-04 09:44:52 status half-configured libnumber-compare-perl:all 0.03-3
2023-12-04 09:44:52 status installed libnumber-compare-perl:all 0.03-3
2023-12-04 09:44:52 configure tzdata:all 2023c-11 <none>
2023-12-04 09:44:52 status unpacked tzdata:all 2023c-11
2023-12-04 09:44:52 status half-configured tzdata:all 2023c-11
2023-12-04 09:44:58 status installed tzdata:all 2023c-11
2023-12-04 09:44:58 configure ncurses-base:all 6.4+20231121-1 <none>
2023-12-04 09:44:58 status unpacked ncurses-base:all 6.4+20231121-1
2023-12-04 09:44:58 status half-configured ncurses-base:all 6.4+20231121-1
2023-12-04 09:44:58 status installed ncurses-base:all 6.4+20231121-1
2023-12-04 09:44:58 configure gcc-13-base:arm64 13.2.0-5 <none>
2023-12-04 09:44:58 status unpacked gcc-13-base:arm64 13.2.0-5
2023-12-04 09:44:58 status half-configured gcc-13-base:arm64 13.2.0-5
2023-12-04 09:44:58 status installed gcc-13-base:arm64 13.2.0-5
2023-12-04 09:44:58 configure init-system-helpers:all 1.65.2+kali2 <none>
2023-12-04 09:44:58 status unpacked init-system-helpers:all 1.65.2+kali2
2023-12-04 09:44:58 status half-configured init-system-helpers:all 1.65.2+kali2
2023-12-04 09:44:58 status installed init-system-helpers:all 1.65.2+kali2
2023-12-04 09:44:59 configure libgcc-s1:arm64 13.2.0-5 <none>
2023-12-04 09:44:59 status unpacked libgcc-s1:arm64 13.2.0-5
2023-12-04 09:44:59 status half-configured libgcc-s1:arm64 13.2.0-5
